year,word,frequency,topic
2007,computational,0.0017248541430599903,14
2008,computational,0.0017506173585806577,14
2009,computational,0.0017380750001509378,14
2010,computational,0.0017040717324837173,14
2011,computational,0.0016586762314027169,14
2012,computational,0.0016053388927958422,14
2013,computational,0.0015677550262094492,14
2014,computational,0.001537526400019264,14
2015,computational,0.0015094540189257298,14
2016,computational,0.0015000335819037231,14
2017,computational,0.0014975779078365416,14
2000,finite,0.00226997781982266,14
2001,finite,0.002375971563690649,14
2002,finite,0.0025288713024816186,14
2003,finite,0.002497120592257706,14
2004,finite,0.0024076981721225595,14
2005,finite,0.002380243614391216,14
2006,finite,0.0020829211385673695,14
2007,finite,0.0016695164357143665,14
2008,finite,0.001410800254358312,14
2009,finite,0.0012312904880614813,14
2010,finite,0.0010502979851340656,14
2011,finite,0.000959284806191131,14
2012,finite,0.0009197862430542564,14
2013,finite,0.0008657873708998467,14
2014,finite,0.0007670896759445749,14
2015,finite,0.0006768691326454891,14
2016,finite,0.0005932382721690983,14
2017,finite,0.0005471467181528084,14
2000,probability,0.0011900398800328063,14
2001,probability,0.0012253402445126524,14
2002,probability,0.0012795907583283532,14
2003,probability,0.001336388546611645,14
2004,probability,0.001388674937797405,14
2005,probability,0.0014458142053979202,14
2006,probability,0.0015190878658911846,14
2007,probability,0.0015901591840113615,14
2008,probability,0.001644131651754482,14
2009,probability,0.001680263843130635,14
2010,probability,0.0016885223728293098,14
2011,probability,0.0016818651646492752,14
2012,probability,0.0016672688101782773,14
2013,probability,0.0016411824348506012,14
2014,probability,0.0016107428878050164,14
2015,probability,0.0015549796220246594,14
2016,probability,0.001521640677994605,14
2017,probability,0.0015045607383946833,14
2000,marker,0.0020538273822084774,14
2001,marker,0.0018894079857023835,14
2002,marker,0.0017508608394459831,14
2003,marker,0.0016781323611820196,14
2004,marker,0.0016914803842790129,14
2005,marker,0.001751316241562463,14
2006,marker,0.0017411569925234673,14
2007,marker,0.001532752603067418,14
2008,marker,0.0013333697013072742,14
2009,marker,0.0011900955358213178,14
2010,marker,0.0011144428377532123,14
2011,marker,0.0010961360219561404,14
2012,marker,0.001136749896515334,14
2013,marker,0.0012212916437305285,14
2014,marker,0.0012863764750634947,14
2015,marker,0.001345675581651924,14
2016,marker,0.0014221916869841262,14
2017,marker,0.0014974497075491528,14
2000,entropy,0.0004076885089631257,14
2001,entropy,0.0004260769493658398,14
2002,entropy,0.0004542115045186477,14
2003,entropy,0.0004921116195639407,14
2004,entropy,0.0005410983176278645,14
2005,entropy,0.000577890447690324,14
2006,entropy,0.0006288343662517565,14
2007,entropy,0.0007274269285621346,14
2008,entropy,0.0008902351875451582,14
2009,entropy,0.0010945035461028404,14
2010,entropy,0.00134922787805773,14
2011,entropy,0.0015728047947429855,14
2012,entropy,0.0016923394694208327,14
2013,entropy,0.0017160704683401055,14
2014,entropy,0.0019564910202217434,14
2015,entropy,0.0025433377113604785,14
2016,entropy,0.003825942353568915,14
2017,entropy,0.005583050303594695,14
2000,john,0.003126787858121978,14
2001,john,0.0028428070441947556,14
2002,john,0.002469366961193868,14
2003,john,0.002086337056622204,14
2004,john,0.0017501029442231958,14
2005,john,0.0014910941434098754,14
2006,john,0.0013053398193599215,14
2007,john,0.0011844527600419672,14
2008,john,0.001100988572098436,14
2009,john,0.0010372288067311238,14
2010,john,0.0009827711755447408,14
2011,john,0.0009273282116747889,14
2012,john,0.0008876474017406771,14
2013,john,0.0008672837558927758,14
2014,john,0.0008649358726875335,14
2015,john,0.0008674336477310138,14
2016,john,0.000863192283146752,14
2017,john,0.0008565951087903885,14
2000,situation,0.0011258472337238655,14
2001,situation,0.0011173818961724659,14
2002,situation,0.0010967007574551593,14
2003,situation,0.0010664114441521781,14
